ubigeo_distrito,votos_validos,votos_blancos,votos_nulos,votos_emitidos,actas_contabilizadas,actas_total,cand_01,cand_02
010101,14933,118,1310,16361,76,76,7395,7538
010102,0,0,0,0,0,2,0,0
010103,0,0,0,0,0,5,0,0
010104,423,6,41,470,3,3,170,253
010105,0,0,0,0,0,4,0,0
010106,0,0,0,0,0,7,0,0
010107,0,0,0,0,0,2,0,0
010108,596,3,48,647,3,3,327,269
010109,0,0,0,0,0,17,0,0
010110,0,0,0,0,0,10,0,0
010111,791,5,35,831,4,4,416,375
010112,549,4,36,589,3,3,224,325
010113,0,0,0,0,0,4,0,0
010114,0,0,0,0,0,8,0,0
010115,0,0,0,0,0,3,0,0
010116,0,0,0,0,0,2,0,0
010117,0,0,0,0,0,4,0,0
010118,0,0,0,0,0,2,0,0
010119,0,0,0,0,0,3,0,0
010120,944,14,78,1036,6,6,390,554
010121,267,2,14,283,2,2,127,140
010201,4020,36,240,4296,25,25,1545,2475
010202,5247,46,306,5599,34,34,1841,3406
010203,2841,27,184,3052,15,16,917,1924
010204,1091,6,66,1163,6,6,285,806
010205,13488,88,826,14402,69,72,5554,7934
010206,0,0,0,0,0,97,0,0
010301,0,0,0,0,0,3,0,0
010302,0,0,0,0,0,3,0,0
010303,547,3,32,582,3,3,179,368
010304,267,4,10,0,0,2,110,157
010305,223,4,6,233,2,2,130,93
010306,0,0,0,0,0,17,0,0
010307,223,1,7,231,2,2,64,159
010308,395,2,25,422,3,3,161,234
010309,974,12,46,1032,6,6,366,608
010310,0,0,0,0,0,4,0,0
010311,840,11,50,901,4,18,348,492
010312,3452,36,224,3712,21,21,1741,1711
010401,336,6,34,376,2,7,142,194
010402,0,0,0,0,0,20,0,0
010403,0,0,0,0,0,7,0,0
010404,0,0,0,0,0,7,0,0
010405,0,0,0,0,0,6,0,0
010406,376,3,18,397,3,3,211,165
010407,568,7,20,595,4,4,386,182
010408,0,0,0,0,0,3,0,0
010409,2194,25,168,2387,12,12,993,1201
010410,0,0,0,0,0,2,0,0
010411,0,0,0,0,0,3,0,0
010412,0,0,0,0,0,11,0,0
010413,0,0,0,0,0,11,0,0
010414,0,0,0,0,0,18,0,0
010415,0,0,0,0,0,3,0,0
010416,0,0,0,0,0,3,0,0
010417,0,0,0,0,0,4,0,0
010418,0,0,0,0,0,2,0,0
010419,0,0,0,0,0,7,0,0
010420,0,0,0,0,0,12,0,0
010421,371,3,12,386,2,5,195,176
010422,0,0,0,0,0,4,0,0
010423,0,0,0,0,0,5,0,0
010501,0,0,0,0,0,15,0,0
010502,0,0,0,0,0,3,0,0
010503,0,0,0,0,0,8,0,0
010504,0,0,0,0,0,10,0,0
010505,0,0,0,0,0,6,0,0
010506,0,0,0,0,0,6,0,0
010507,0,0,0,0,0,3,0,0
010508,0,0,0,0,0,6,0,0
010509,0,0,0,0,0,29,0,0
010510,0,0,0,0,0,3,0,0
010511,0,0,0,0,0,2,0,0
010512,0,0,0,0,0,11,0,0
010601,0,0,0,0,0,86,0,0
010602,0,0,0,0,0,47,0,0
010603,0,0,0,0,0,41,0,0
010701,20983,159,1250,21982,111,152,7840,13143
010702,5615,39,290,5944,31,77,1639,3976
010703,0,0,0,0,0,27,0,0
010704,2855,25,162,3042,16,19,1290,1565
010705,0,0,0,0,0,22,0,0
010706,0,0,0,0,0,29,0,0
010707,0,0,0,0,0,13,0,0
020101,28819,248,2354,30579,131,167,11972,16847
020102,26561,213,2117,28175,123,183,10484,16077
020103,0,0,0,0,0,7,0,0
020104,0,0,0,0,0,2,0,0
020105,0,0,0,0,0,8,0,0
020106,1878,19,118,1522,7,17,752,1126
020107,0,0,0,0,0,5,0,0
020108,1779,18,93,1890,9,10,535,1244
020109,0,0,0,0,0,5,0,0
020110,0,0,0,0,0,16,0,0
020111,169,2,5,0,0,16,68,101
020112,1095,15,91,711,3,20,441,654
020201,0,0,0,0,0,6,0,0
020203,0,0,0,0,0,6,0,0
020205,0,0,0,0,0,2,0,0
020206,0,0,0,0,0,9,0,0
020208,0,0,0,0,0,3,0,0
020301,0,0,0,0,0,12,0,0
020302,0,0,0,0,0,1,0,0
020304,0,0,0,0,0,8,0,0
020305,0,0,0,0,0,6,0,0
020310,0,0,0,0,0,5,0,0
020311,0,0,0,0,0,7,0,0
020313,0,0,0,0,0,3,0,0
020315,0,0,0,0,0,4,0,0
020317,0,0,0,0,0,2,0,0
020320,0,0,0,0,0,3,0,0
020321,0,0,0,0,0,6,0,0
020322,0,0,0,0,0,2,0,0
020323,0,0,0,0,0,7,0,0
020324,0,0,0,0,0,2,0,0
020325,0,0,0,0,0,17,0,0
020401,1449,15,147,1611,7,43,499,950
020402,592,9,54,655,3,8,226,366
020403,0,0,0,0,0,6,0,0
020404,1478,13,66,1557,7,8,500,978
020405,0,0,0,0,0,6,0,0
020406,1664,27,164,1393,6,31,582,1082
020407,917,23,78,1018,5,5,363,554
020408,0,0,0,0,0,9,0,0
020409,182,11,16,209,1,11,31,151
020410,0,0,0,0,0,10,0,0
020411,458,1,13,323,2,12,174,284
020501,0,0,0,0,0,95,0,0
020502,0,0,0,0,0,15,0,0
020503,0,0,0,0,0,9,0,0
020505,0,0,0,0,0,24,0,0
020601,0,0,0,0,0,5,0,0
020602,0,0,0,0,0,2,0,0
020603,0,0,0,0,0,2,0,0
020604,0,0,0,0,0,9,0,0
020605,0,0,0,0,0,4,0,0
020606,0,0,0,0,0,3,0,0
020607,0,0,0,0,0,2,0,0
020701,11198,172,1223,11737,52,68,6171,5027
020702,0,0,0,0,0,4,0,0
020703,897,12,61,970,5,5,473,424
020704,0,0,0,0,0,5,0,0
020705,1043,9,83,1135,6,7,628,415
020706,0,0,0,0,0,27,0,0
020707,146,12,15,173,1,24,95,51
020708,0,0,0,0,0,16,0,0
020709,0,0,0,0,0,9,0,0
020710,0,0,0,0,0,4,0,0
020801,3095,35,220,3350,19,21,776,2319
020802,2139,17,110,2266,12,14,425,1714
020803,0,0,0,0,0,42,0,0
020804,118,1,6,125,1,11,12,106
020805,2097,36,67,2200,18,21,570,1527
020806,0,0,0,0,0,9,0,0
020807,0,0,0,0,0,10,0,0
020808,894,14,47,955,7,9,238,656
020809,0,0,0,0,0,9,0,0
020810,0,0,0,0,0,21,0,0
020811,0,0,0,0,0,4,0,0
020812,0,0,0,0,0,7,0,0
020813,7970,63,508,8151,63,119,2519,5451
020814,187,2,10,0,0,15,33,154
020815,0,0,0,0,0,7,0,0
020816,0,0,0,0,0,11,0,0
020901,0,0,0,0,0,8,0,0
020902,767,13,58,838,4,14,234,533
020903,0,0,0,0,0,10,0,0
020904,0,0,0,0,0,8,0,0
020905,0,0,0,0,0,5,0,0
020906,0,0,0,0,0,18,0,0
020907,0,0,0,0,0,4,0,0
020908,0,0,0,0,0,4,0,0
021001,0,0,0,0,0,7,0,0
021002,0,0,0,0,0,4,0,0
021003,0,0,0,0,0,24,0,0
021004,0,0,0,0,0,2,0,0
021005,0,0,0,0,0,3,0,0
021006,0,0,0,0,0,2,0,0
021007,0,0,0,0,0,2,0,0
021008,0,0,0,0,0,8,0,0
021009,0,0,0,0,0,12,0,0
021010,0,0,0,0,0,4,0,0
021011,0,0,0,0,0,8,0,0
021101,6151,115,562,6828,39,39,1403,4748
021102,1481,22,81,1584,9,11,297,1184
021103,0,0,0,0,0,21,0,0
021104,0,0,0,0,0,8,0,0
021201,3108,21,209,3338,18,18,957,2151
021202,0,0,0,0,0,3,0,0
021203,0,0,0,0,0,3,0,0
021204,79,2,0,81,1,5,35,44
021205,0,0,0,0,0,4,0,0
021206,0,0,0,0,0,6,0,0
021207,0,0,0,0,0,2,0,0
021208,1615,18,77,1710,8,8,529,1086
021209,0,0,0,0,0,5,0,0
021210,2712,19,126,2857,13,13,678,2034
021301,55427,300,5072,53791,238,621,28625,26802
021302,0,0,0,0,0,16,0,0
021303,0,0,0,0,0,13,0,0
021304,0,0,0,0,0,25,0,0
021305,1230,6,92,1328,6,41,499,731
021306,2775,17,162,878,4,14,1487,1288
021307,6480,52,566,7098,32,89,3119,3361
021308,0,0,0,0,0,47,0,0
021309,61661,337,5638,67636,294,420,31153,30508
021401,0,0,0,0,0,12,0,0
021402,0,0,0,0,0,2,0,0
021403,0,0,0,0,0,4,0,0
021404,0,0,0,0,0,11,0,0
021405,0,0,0,0,0,8,0,0
021406,0,0,0,0,0,5,0,0
021407,0,0,0,0,0,6,0,0
021408,0,0,0,0,0,9,0,0
021409,0,0,0,0,0,10,0,0
021410,0,0,0,0,0,22,0,0
021501,6905,81,662,7648,34,60,2560,4345
021502,658,10,80,553,3,6,356,302
021503,2883,33,257,3173,15,22,1035,1848
021504,1122,10,132,1264,6,6,496,626
021505,0,0,0,0,0,39,0,0
021506,1258,20,124,1150,5,10,423,835
021507,997,10,79,1086,7,8,372,625
021508,0,0,0,0,0,18,0,0
021601,0,0,0,0,0,8,0,0
021602,0,0,0,0,0,6,0,0
021603,0,0,0,0,0,5,0,0
021604,0,0,0,0,0,6,0,0
021605,0,0,0,0,0,16,0,0
021606,0,0,0,0,0,5,0,0
021701,0,0,0,0,0,32,0,0
021702,0,0,0,0,0,14,0,0
021703,0,0,0,0,0,11,0,0
021801,0,0,0,0,0,13,0,0
021802,0,0,0,0,0,10,0,0
021901,14788,79,685,14952,68,73,8229,6559
021902,0,0,0,0,0,5,0,0
021903,153,0,1,154,1,4,68,85
021904,162,3,2,0,0,4,40,122
021905,1396,12,54,1462,7,8,863,533
022001,0,0,0,0,0,3,0,0
022002,0,0,0,0,0,1,0,0
022003,0,0,0,0,0,2,0,0
022004,0,0,0,0,0,6,0,0
022005,0,0,0,0,0,4,0,0
022006,0,0,0,0,0,1,0,0
022007,0,0,0,0,0,4,0,0
022008,0,0,0,0,0,3,0,0
022009,0,0,0,0,0,4,0,0
022010,0,0,0,0,0,2,0,0
030101,30837,184,1740,32761,150,162,9112,21725
030102,362,5,10,377,2,13,56,306
030103,0,0,0,0,0,49,0,0
030104,0,0,0,0,0,5,0,0
030105,0,0,0,0,0,13,0,0
030106,229,6,15,250,2,16,31,198
030107,783,11,55,849,5,16,147,636
030108,0,0,0,0,0,10,0,0
030109,6333,39,355,6727,29,29,1815,4518
030201,0,0,0,0,0,11,0,0
030202,0,0,0,0,0,3,0,0
030203,0,0,0,0,0,4,0,0
030204,0,0,0,0,0,3,0,0
030205,0,0,0,0,0,13,0,0
